,total_route,single_distance,single_cargo_weight,single_cargo_volume,total_travel_time
1180,1820,0,53.5,31.5,8
1181,1819,0,10,6,54
1182,1817,0.003243413,64,37,26.00005406
1183,1765,0.004995851,27.5,14.5,32.00008326
1184,1758,0.001253453,35.5,19.5,16.00002089
1185,1766,0.001253453,17.5,9.5,12.00002089
1186,1811,0.004642808,15,9,20.00007738
1187,1853,0.018646205,21,11,16.00031077
1188,1851,0.000111195,16.5,8.5,2.000001853
1189,1849,0.000727585,2.5,1.5,8.000012126
1190,1866,0.016469696,8.5,4.5,12.00027449
1191,1872,0.006557917,14.5,8.5,50.0001093
1192,1867,0.016112898,60,35,30.00026855
1193,1689,0.051265118,34,19,40.00085442
1194,1473,0.065779529,48,28,28.00109633
1195,1495,0.031839538,34.5,20.5,10.00053066
1196,1869,0.072925032,12.5,7.5,42.00121542
1197,1471,0.237008342,51.5,30.5,28.00395014
1198,1451,0.071610708,30.5,16.5,18.00119351
1199,1858,0.149466131,19,10,26.0024911
1200,1452,0.150830581,32,19,32.00251384
1201,1447,0.007494553,38,22,56.00012491
1202,1446,0.00097123,66,38,20.00001619
1203,1453,0.007494553,24.5,14.5,44.00012491
1204,1457,0.011995617,54,32,8.000199927
1205,1456,0.002615657,8.5,4.5,16.00004359
1206,1461,0.008536571,19,11,10.00014228
1207,1454,0.020459092,10,5,16.00034098
1208,1450,0.018030186,18,10,14.0003005
1209,1413,0.366587666,14,7,6.006109794
1210,1408,0.003492518,7.5,4.5,48.00005821
1211,1402,0.004507378,56.5,32.5,38.00007512
1212,1399,0.00401444,46.5,27.5,22.00006691
1213,1403,0.00401444,27.5,16.5,24.00006691
1214,1407,0.00047779,29.5,17.5,4.000007963
1215,1406,0,5,3,24
1216,1414,0.003492518,30,18,16.00005821
1217,1416,0,17.5,9.5,48
1218,1409,0.008886088,55.5,31.5,30.0001481
1219,1405,0.00421787,34,19,36.0000703
1220,1401,0.005313847,43.5,25.5,30.00008856
1221,1397,0.005269957,33.5,18.5,22.00008783
1222,1417,0.014909945,24,13,18.0002485
1223,1420,0.009531078,20.5,11.5,28.00015885
1224,1157,0.616489834,35,21,32.01027483
1225,1145,0.438583985,36,20,14.00730973
1226,1122,0.176770379,15.5,8.5,8.002946173
1227,1113,0.046058504,8.5,4.5,38.00076764
1228,1092,0.215281198,44,25,30.00358802
1229,1091,0.001243019,37,22,22.00002072
1230,1089,0.002034372,25.5,14.5,56.00003391
1231,1086,0.001125174,65,37,20.00001875
1232,1085,0.001893874,24,14,2.000031565
1233,1088,0.000955286,2.5,1.5,34.00001592
1234,1090,0.002560116,41.5,24.5,42.00004267
1235,1087,0.004343594,51,30,18.00007239
1236,1082,0.004364632,21.5,12.5,24.00007274
1237,1079,0.0039328,26.5,14.5,20.00006555
1238,1081,0.003451437,24,14,20.00005752
1239,1080,0.005516108,20,10,28.00009194
1240,1084,0.005897898,32.5,18.5,42.0000983
1241,1083,0.002892205,48,27,56.0000482
1242,1078,0.030739802,65.5,37.5,26.00051233
1243,1049,0.292798989,27.5,14.5,40.00487998
1244,893,0.234196616,46.5,26.5,36.00390328
1245,895,0.002156955,40,22,42.00003595
1246,888,0.004204752,47.5,26.5,34.00007008
1247,887,0.002141243,42,25,58.00003569
1248,884,0.002535205,67.5,38.5,34.00004225
1249,892,0.003922471,40,23,28.00006537
