"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1497",2254,0.00385506402705354,16,9,4.00006425106712
"1498",2253,0,5,3,18
"1499",2252,0,19,10,30
"1500",2251,0,32.5,17.5,18
"1501",2250,0,22.5,13.5,32
"1502",2249,0,35.5,19.5,22
"1503",2248,0,24.5,13.5,54
"1504",2247,0,64,37,26
"1505",2246,0,32,19,28
"1506",2245,0,34,20,50
"1507",2244,0,57.5,32.5,28
"1508",2243,0,35,21,50
"1509",2242,0,57.5,32.5,22
"1510",2241,0,24.5,13.5,40
"1511",2240,0,45.5,25.5,18
"1512",2239,0,21,12,10
"1513",2238,0,12.5,7.5,36
"1514",2237,0,44,26,26
"1515",2236,0,28.5,15.5,34
"1516",2235,0,38,21,10
"1517",2234,0,11.5,6.5,30
"1518",2233,0,35.5,20.5,24
"1519",2232,0,29.5,17.5,12
"1520",2231,0,14.5,8.5,6
"1521",2230,0,7,4,0
"1522",2229,0,0,0,38
"1523",2228,0,45,26,44
"1524",2227,0,51,29,20
"1525",2226,0,20.5,10.5,36
"1526",2268,0.000797571162680398,41.5,23.5,6.00001329285271
"1527",2267,0,6,3,14
"1528",2266,0,14.5,7.5,36
"1529",2265,0,44.5,26.5,36
"1530",2264,0,43.5,25.5,38
"1531",2263,0,44,25,34
"1532",2262,0,38,21,46
"1533",2261,0,52.5,29.5,40
"1534",2260,0,48,28,48
"1535",2259,0,56,32,30
"1536",2258,0,36,21,48
"1537",2257,0,56,32,28
"1538",2256,0,35,21,48
"1539",2270,0.000567944065869044,56.5,32.5,56.0000094657344
"1540",2107,0.0135710669777196,65.5,37.5,58.0002261844496
"1541",1953,0.0684092989831284,67.5,38.5,22.0011401549831
"1542",1952,0.000970669731383886,23,12,20.0000161778289
"1543",1898,0.081911182472607,20.5,10.5,50.0013651863745
"1544",1901,0.00100745151277778,58,33,32.0000167908585
"1545",1905,0,36,20,48
"1546",1907,0,58,34,22
"1547",1919,0,24.5,13.5,12
"1548",1918,0,12,6,24
"1549",1917,0,27.5,15.5,24
"1550",1916,0,29,17,44
"1551",1915,0,51.5,29.5,6
"1552",1914,0,6.5,3.5,30
"1553",1913,0,33,18,32
"1554",1912,0,36,20,34
"1555",1911,0,42.5,25.5,58
"1556",1910,0,68,39,24
"1557",1909,0,25,13,20
"1558",1908,0,20.5,10.5,38
"1559",1906,0.00122832292514002,46.5,27.5,42.0000204720488
"1560",1904,0.000906111678085456,47.5,26.5,28.0000151018613
"1561",1903,0,33.5,19.5,20
"1562",1902,0,25,15,20
"1563",1941,0.12589073929188,22,12,38.0020981789882
"1564",1944,0,42.5,23.5,28
"1565",1948,0,35,21,10
"1566",1951,0,10,5,14
"1567",1954,0.000970669731383886,17.5,10.5,6.00001617782886
"1568",1958,0.000376222388898285,7.5,4.5,22.0000062703731
"1569",1960,0.00159467902948462,24,13,34.0000265779838
"1570",1962,0.00226366600837607,37.5,20.5,24.0000377277668
