"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1",1,0,0,0,0
"2",9,0.122500193890719,70,41,70.0020416698982
"3",3,0.00143902458178703,80,45,32.000023983743
"4",5,0.000555974632591827,33.5,17.5,58.0000092662439
"5",10,0.00206835744141037,65,36,50.000034472624
"6",17,0.000730157850699582,57,32,34.0000121692975
"7",19,0,37.5,20.5,64
"8",18,0.00133740411626495,77.5,45.5,54.0000222900686
"9",16,0.000706297828005084,64.5,37.5,38.0000117716305
"10",14,0.000626960012791029,46.5,27.5,52.0000104493335
"11",12,0.000525225567316285,65,39,46.0000087537595
"12",15,0.000830555394048885,56.5,33.5,56.0000138425899
"13",13,0.00127161312181953,67,39,64.000021193552
"14",11,0.00087774401317753,76.5,44.5,80.0000146290669
"15",20,0.0023513863599154,94,54,56.0000391897727
"16",31,3.88321338748634,68,40,8.06472022312477
"17",33,0,8.5,4.5,22
"18",35,0.00268914207318186,22.5,11.5,60.0000448190346
"19",39,0,73.5,43.5,66
"20",42,0.00107986666393479,79.5,46.5,56.0000179977777
"21",53,0.00402557431155954,62.5,34.5,48.0000670929052
"22",59,0,60,36,60
"23",61,0,71,41,34
"24",76,0.0057094432891155,42,25,60.0000951573882
"25",79,0.00622452470887841,71,41,42.0001037420785
"26",62,0.0371028303384402,52.5,31.5,16.0006183805056
"27",65,0,16,8,50
"28",70,0,61.5,36.5,58
"29",75,0,68,39,20
"30",80,0.0314571236084853,24,14,18.0005242853935
"31",82,0.000125387025749615,19,10,24.0000020897838
"32",81,0.000567924444301863,24.5,12.5,44.0000094654074
"33",83,0.000448538274671422,50,28,50.0000074756379
"34",88,0.0593520258265651,58,33,82.0009892004304
"35",95,0.00767169420989984,96,55,24.0001278615702
"36",103,0,26.5,14.5,42
"37",115,0,49,28,38
"38",118,0,40,21,34
"39",78,0.409013596621912,35.5,18.5,70.006816893277
"40",77,0.00622452470887841,85,50,20.0001037420785
"41",74,0.0218136776657046,22,12,60.0003635612944
"42",73,0,69,39,64
"43",72,0,75.5,43.5,64
"44",71,0,77,45,50
"45",69,0.00769883864547737,55,30,28.0001283139774
"46",68,0,33,19,14
"47",67,0,14,7,48
"48",66,0,54.5,30.5,28
"49",43,0.0132405158818504,31.5,17.5,74.0002206752647
"50",41,0.00182479216518933,88,51,34.0000304132028
"51",40,0.00107986666393479,41,24,46.0000179977777
"52",44,0.00182479216518933,50,27,54.0000304132028
"53",47,0.000571200722799937,60,33,78.000009520012
"54",52,0,90,51,64
"55",51,0,73,41,52
"56",50,0,62.5,36.5,52
"57",49,0,64,38,62
"58",48,0,74.5,43.5,50
"59",58,0.00166792390060477,61,36,60.0000277987317
"60",57,0,67.5,37.5,66
"61",56,0,80,47,40
"62",55,0,44.5,24.5,42
"63",54,0,50,29,44
"64",46,0.0012336101743324,49.5,27.5,20.0000205601696
"65",45,0.000571200722799937,22.5,12.5,86.000009520012
"66",60,0.00212343111368925,101,58,16.0000353905186
"67",64,0.00232102246177269,18,10,44.0000386837077
"68",63,0,51,29,44
"69",38,0.00878373901170503,54.5,32.5,50.0001463956502
"70",37,0,56,31,60
"71",36,0,73,43,80
"72",34,0.00759539999136321,93.5,53.5,42.0001265899999
"73",32,0.00494603844989076,51,30,68.0000824339742
"74",119,0.41481968957627,82,48,58.0069136614929
"75",121,0,65,36,32
"76",138,0,38,22,66
"77",140,0,78,45,28
"78",142,0,29.5,15.5,28
"79",150,0.000970364962388348,33,19,30.0000161727494
"80",149,0.000462577718381685,35.5,20.5,48.0000077096286
"81",148,0,56,32,28
"82",147,0,34,20,10
"83",146,0,10.5,5.5,56
"84",151,0.000462577718381685,67,39,30.0000077096286
"85",153,0,31,16,16
"86",160,0,18,10,58
"87",166,0.00164448498877567,69.5,40.5,54.0000274080831
"88",168,0,63.5,36.5,66
"89",170,0.00147428217800881,75.5,42.5,26.0000245713696
"90",165,0.00148781503050419,29.5,16.5,50.0000247969172
"91",169,0.00151804250147364,55.5,30.5,68.0000253007084
"92",164,0.00132550483560367,78.5,44.5,16.0000220917473
"93",163,0,17.5,9.5,70
"94",162,0,80,45,64
"95",171,0.00148781503050419,73,41,72.0000247969172
"96",174,0.000173833700775039,84.5,48.5,38.0000028972283
"97",178,0,47.5,28.5,36
"98",173,0.000706283509692967,40.5,22.5,8.00001177139183
"99",172,0.000173833700775039,8,4,36.0000028972283
"100",177,0.000689444248435392,41,23,70.0000114907375
"101",176,0,83.5,48.5,22
"102",175,0,27,16,50
"103",179,0.00133559666752278,58.5,33.5,32.0000222599445
"104",183,0,39.5,23.5,64
"105",185,0,74,42,64
"106",197,0.00232842738640505,78.5,46.5,80.0000388071231
