,total_route,single_distance,single_cargo_weight,single_cargo_volume,total_travel_time
521,1331,0,58,33,20
522,1330,0,23.5,13.5,50
523,1329,0,59.5,34.5,32
524,1324,0.000406223,39,23,16.00000677
525,1323,0.000231816,19,11,18.00000386
526,1321,0.000689451,22,13,6.000011491
527,1325,0.000231816,6.5,3.5,34.00000386
528,1327,0,42,25,30
529,1326,0.000111195,32.5,17.5,40.00000185
530,1350,0.000730139,47,27,40.00001217
531,1352,0.000333585,49,29,46.00000556
532,1360,0.003384183,53.5,30.5,16.0000564
533,1363,0.004109035,17,9,34.00006848
534,1366,0.003592358,39.5,22.5,42.00005987
535,1368,0.000376174,48,27,28.00000627
536,1370,0.000406223,30,16,24.00000677
537,1388,0.009877503,27,15,28.00016463
538,1390,0,33.5,19.5,52
539,1402,0.004716038,61,35,26.0000786
540,1397,0.003648244,29,16,24.0000608
541,1404,0.003277832,30,18,4.000054631
542,1362,0.03131024,4.5,2.5,20.00052184
543,1364,0.001770534,23.5,13.5,50.00002951
544,1367,0.001626514,60,35,30.00002711
545,1369,0.001641784,36.5,21.5,14.00002736
546,1373,0.000655759,16.5,9.5,34.00001093
547,1387,0.006247692,40.5,23.5,50.00010413
548,1383,0.003019107,57.5,32.5,48.00005032
549,1386,0,57.5,33.5,24
550,1385,0,27,15,44
551,1384,0,52,30,20
552,1395,0.003874242,24.5,14.5,22.00006457
553,1403,0.003648244,24,13,18.0000608
554,1398,0.003277832,22.5,13.5,46.00005463
555,1393,0.003308149,56,33,16.00005514
556,1400,0.002745626,18,10,18.00004576
557,1381,0.008289864,22.5,13.5,12.00013816
558,1392,0.004105822,15,9,14.00006843
559,1399,0.003308149,15,8,36.00005514
560,1394,0.002745626,44,26,56.00004576
561,1376,0.006669892,66,38,36.00011116
562,1382,0.005608665,40.5,22.5,40.00009348
563,1389,0.004173867,48,28,28.00006956
564,1391,0.010677233,34.5,20.5,32.00017795
565,1377,0.005516569,35.5,19.5,30.00009194
566,1372,0.005431749,35.5,20.5,34.00009053
567,1365,0.003289383,41.5,24.5,30.00005482
568,1361,0.008066495,36,21,44.00013444
569,1354,0.010276995,52.5,30.5,18.00017128
570,1353,0.094961901,20.5,11.5,30.0015827
571,1358,0.011419959,33.5,18.5,44.00019033
572,1406,0.100714088,50,28,32.00167857
573,1408,0,38,22,26
574,1415,0.003050272,28.5,15.5,46.00005084
575,1417,0.000558991,55,32,8.000009317
576,1419,0,8,4,14
577,1422,0.003178134,17.5,10.5,26.00005297
578,1446,0.015001344,28,15,32.00025002
579,1453,0.003891317,36.5,20.5,6.49E-05
580,1451,0.001771259,0,0,46.00002952
581,1220,0.052024213,54.5,31.5,28.00086707
582,1281,0,33.5,19.5,24
583,1288,0.001444683,25,13,30.00002408
584,1286,0.000642602,35.5,20.5,42.00001071
585,1294,0.000420781,50.5,29.5,24.00000701
586,1301,0.000841561,29,17,50.00001403
587,1300,0.000229822,57.5,32.5,50.00000383
588,1302,0.000778364,58.5,33.5,18.00001297
589,1296,0.001204194,18.5,9.5,52.00002007
590,1304,0.001311649,60,34,34.00002186
591,1306,0.001032156,40.5,23.5,42.0000172
592,1116,0.068733467,48.5,27.5,28.00114556
593,1118,0.012009912,32,18,10.00020017
594,1125,0.009320666,10.5,5.5,32.00015534
